id,A01,A02,A03,A04,A05,A06,A08,B01,B02,B03,B04,B05,B06,B07,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D01,D02,D03,D04,D05,D06,D07,E01,E02,E03,E04,E05,E06,E07,E08,E09,F01,F02,F03,F04,F05,G01,G02,G03,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,J01,J02,J03,L00,L01,L02,L03,L04,L05,L06,L07,M01,
14,8,23,1,10,2,2,0,4,0,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,17,24,6,6,60,23,5,69,3,29,18,32,1,8,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,26,0,4,5,1,0,1,3,1,1,2,62,1,1,0,0,0,2,2,2,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5,9,14,3,34,34,10,27,26,23,5,10,5,25,16,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,3,3,0,0,3,0,0,5,15,5,13,2,42,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,6,5,2,1,0,3,0,0,4,8,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
17,1,0,0,0,3,0,0,14,1,4,8,3,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,23,1,7,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,33,4,0,14,12,0,0,5,21,18,16,27,2,11,29,28,3,5,22,9,5,1,3,6,4,3,6,1,0,1,0,0,0,0,30,2,1,37,2,4,0,5,4,5,1,2,0,9,9,41,20,25,3,4,1,8,11,18,4,9,1,0,2,4,3,3,7,6,2,2,0,22,0,18,0,1,4,1,0,0,0,0,0,1,3,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,3
19,24,12,0,9,10,16,0,5,30,7,17,6,23,0,4,5,0,4,3,8,0,4,2,14,4,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,6,40,5,5,0,2,1,21,12,3,7,6,7,8,6,5,14,7,7,8,0,5,7,5,15,12,0,4,1,21,1,31,1,10,8,0,0,0,2,0,0,8,4,7,1,18,1,1,0,0,0,0,0,0,0,0,0,0,0,3
20,27,4,1,12,19,1,0,10,11,22,6,4,3,7,30,1,0,5,4,3,4,5,0,1,2,2,3,0,0,3,0,0,1,1,0,1,0,1,0,2,0,11,32,7,1,25,1,6,3,5,10,20,9,5,8,0,2,1,2,17,2,2,1,0,1,4,5,10,1,2,0,4,2,22,1,0,3,1,0,1,0,0,0,5,0,6,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,1,0,0,0,1,0,0,0,0,7,13,5,10,2,1,5,1,0,0,0,0,0,52,32,24,0,19,24,1,8,13,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12,10,0,6,7,0,0,5,23,3,0,2,0,2,1,10,12,5,5,1,2,0,1,1,0,0,1,1,0,3,9,0,0,0,35,9,0,0,14,0,0,5,1,0,0,0,0,0,1,0,3,2,0,3,1,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
23,11,74,0,5,6,4,0,0,0,6,0,0,1,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,25,5,1,4,40,26,3,7,2,25,20,30,0,2,23,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,4,2,0,1,1,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9,2,4,1,1,2,2,19,4,0,8,5,5,0,7,0,9,9,2,0,1,0,0,0,1,3,3,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13,4,0,6,6,1,0,2,0,4,0,5,1,0,0,0,0,0,7,2,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,4,0,18,19,13,37,0,37,16,20,10,1,9,2,4,0,3,1,0,1,0,0,0,4,0,0,0,0,0,0,11,0,7,1,1,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26,8,13,2,12,8,1,0,2,2,0,5,2,1,12,0,1,2,0,28,1,6,8,13,17,9,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,11,3,1,2,50,29,24,8,6,22,35,27,5,23,19,22,18,18,40,8,8,7,9,8,5,28,19,1,4,10,1,2,46,1,12,14,2,0,1,1,3,0,48,4,11,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,4
27,13,0,0,0,3,0,0,7,4,3,1,0,0,0,2,6,9,4,9,1,3,1,2,0,0,1,1,0,0,1,7,0,0,0,8,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,21,4,3,2,6,0,0,13,8,49,1,14,6,3,1,4,6,3,14,2,9,0,0,6,0,1,1,0,1,1,1,0,4,0,2,4,3,1,0,58,0,5,5,3,1,4,0,0,2,0,6,2,1,4,0,2,12,9,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
29,22,35,0,7,9,2,0,0,0,1,1,1,10,1,1,0,0,0,0,1,0,0,9,6,3,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,27,11,2,0,56,63,34,3,2,18,13,16,2,9,19,32,8,0,12,4,3,1,5,7,3,10,8,4,2,1,3,1,20,0,5,9,1,0,0,3,7,0,7,3,6,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5
30,0,0,0,0,0,0,0,6,0,2,3,2,20,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,10,15,0,3,1,1,0,0,5,5,0,19,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,9,2,4,10,0,2,28,1,3,7,3,2,0,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,14,26,0,6,4,3,0,9,6,9,7,7,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,5,5,1,0,1,23,8,11,0,14,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,4,1,0,1,17,4,0,0,0,0,0,26,11,28,4,10,16,2,2,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,3,5,5,10,0,3,8,2,0,1,2,0,12,0,1,10,0,0,1,0,0,0,19,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,47,0,9,1,4,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,13,0,1,35,11,0,0,0,15,12,8,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,5,0,1,0,1,0,1,1,2,0,2,11,3,6,1,0,0,5,6,19,3,4,1,10,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1,0,18,4,0,59,17,3,0,19,0,3,11,17,0,0,5,5,3,10,14,1,8,5,7,6,5,32,4,5,2,6,0,5,45,1,2,7,0,1,0,1,0,0,7,4,2,3,1,19,0,0,0,0,0,0,0,0,0,0,0,0,1
37,4,5,0,0,3,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,12,1,2,1,1,1,0,2,2,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,4,6,0,0,1,0,0,1,2,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,5,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,4,2,7,2,1,0,12,2,8,0,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41,20,2,0,7,6,1,0,6,5,6,4,2,2,0,0,1,0,0,1,1,2,6,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,3,4,0,3,1,0,0,4,0,1,0,0,0,1,1,6,4,4,0,0,0,0,0,10,0,2,0,0,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
42,27,4,1,26,4,1,0,22,7,34,25,5,0,3,4,7,1,4,13,0,1,3,3,5,0,0,1,0,1,0,2,14,2,0,2,22,3,12,0,0,0,6,15,22,2,23,10,1,5,0,7,18,7,13,8,6,5,3,1,1,2,0,2,3,0,3,6,8,0,4,0,1,0,15,0,0,5,2,0,1,0,1,0,2,0,2,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,4
43,7,0,0,0,6,0,0,5,2,5,0,4,2,0,1,3,5,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,23,1,3,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
44,19,21,0,11,4,2,0,3,1,3,0,2,1,6,0,1,0,0,6,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,8,7,5,7,0,29,0,3,13,3,0,10,5,3,94,10,4,7,8,5,4,10,8,3,3,9,6,1,1,4,1,0,1,1,0,0,0,4,0,9,0,4,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
45,5,0,0,4,1,0,0,2,3,6,1,6,1,0,0,2,2,6,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,2,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,75,7,3,9,7,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,0,3,0,0,0,1,0,0,0,1,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3,9,0,1,0,6,0,0,19,5,3,0,0,2,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,0,0,1,0,0,0,2,0,0,0,0,4,4,3,3,2,7,2,0,1,0,0,1,0,0,0,0,0,0,0,0,30,4,0,4,0,1,10,78,0,4,4,1,1,1,1,0,0,9,2,1,4,0,4,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0
50,2,4,2,0,2,0,0,2,2,0,3,0,2,1,0,2,4,0,3,2,0,3,0,5,2,0,0,0,2,0,0,0,0,2,2,0,3,0,0,3,0,0,1,0,0,0,0,0,3,0,1,0,1,1,5,2,7,6,1,1,0,2,1,0,0,1,0,3,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,4,2,1,4,6,0,0,0,0,0,1,1,0,0,0,0,0,0
51,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,56,22,9,12,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52,19,0,6,3,2,0,0,1,0,10,0,2,0,0,4,3,3,12,1,1,2,0,0,0,1,0,1,0,0,0,0,0,3,1,19,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,3,0,0,1,0,0,1,3,2,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,13,1,0,4,2,2,9,10,0,3,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,14,0,0,1,5,0,0,0,1,0,2,2,2,0,2,0,0,2,0,0,0,0,11,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,3,1,23,28,15,20,18,1,3,3,12,3,3,12,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,14,0,0,8,1,0,0,1,1,1,0,1,0,0,0,3,4,4,2,0,1,0,3,0,0,0,2,2,0,0,0,0,1,0,4,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,18,33,1,4,6,0,0,2,7,5,0,0,0,4,0,0,0,0,1,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,2,1,1,0,2,0,0,23,9,2,14,9,0,2,5,2,16,5,7,1,14,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,5,7,0,0,1,0,0,1,0,0,9,10,12,16,4,4,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,9,0,1,7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,1,0,1,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,1,0,3,3,0,0,2,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,57,31,1,40,10,8,0,0,0,6,10,9,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,3,1,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,0,1,0,1,0,0,0,0,0,1,3,0,1,0,0,0,1,1,2,0,1,0,0,1,7,0,1,1,0,0,0,1,0,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
61,9,12,0,8,3,1,0,1,1,4,0,1,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,16,7,0,37,1,10,6,10,6,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,7,3,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24,9,2,79,3,0,3,1,0,3,9,18,0,0,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,172,30,17,2,4,0,0,1,0,4,2,0,0,2,2,1,2,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
