id,A01,A02,A03,A04,A05,A06,A08,B01,B02,B03,B04,B05,B06,B07,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D01,D02,D03,D04,D05,D06,D07,E01,E02,E03,E04,E05,E06,E07,E08,E09,F01,F02,F03,F04,F05,G01,G02,G03,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,J01,J02,J03,L00,L01,L02,L03,L04,L05,L06,L07,M01,
13,35,64,1,12,27,0,2,7,15,25,12,6,55,23,0,0,0,0,4,1,2,0,0,5,0,0,0,0,1,2,1,1,0,0,5,1,0,2,0,5,0,14,9,5,11,66,28,10,76,56,16,28,21,3,9,19,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14,18,60,2,20,10,1,2,10,5,9,1,3,8,5,3,0,0,0,1,1,2,0,0,2,0,1,1,0,1,0,0,0,0,7,1,2,0,4,1,0,0,31,41,12,19,119,33,38,133,5,60,50,55,5,33,23,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9,30,1,8,4,0,0,5,15,2,12,6,85,2,2,0,0,0,1,2,1,1,0,10,0,0,0,0,0,2,0,1,0,4,0,1,0,0,0,3,0,7,19,15,4,52,33,22,49,36,37,13,22,12,25,38,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,4,0,3,6,0,0,6,36,20,20,10,72,8,1,1,0,0,3,0,1,0,1,3,0,0,0,1,0,0,0,1,2,0,5,0,2,0,0,0,0,2,10,26,2,15,5,0,3,0,0,7,16,1,3,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,0,1,0,0,0,12,5,4,21,6,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,8,28,0,3,2,1,1,0,1,2,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,40,9,1,25,26,0,0,6,22,23,25,28,0,9,29,38,4,3,13,10,18,1,7,8,2,4,7,1,1,0,0,1,1,0,85,4,0,52,0,8,0,4,9,5,1,3,2,14,10,68,20,65,6,4,6,21,23,35,6,26,6,10,12,5,13,8,13,5,1,4,3,40,2,39,0,7,15,3,0,1,0,0,0,5,0,1,0,5,16,3,0,0,1,0,0,0,0,0,0,0,0,0
19,35,16,1,17,13,13,0,8,47,20,32,21,24,0,7,14,0,3,10,19,13,6,4,23,18,6,6,3,0,0,0,1,0,2,7,1,0,2,0,1,0,6,12,86,6,6,1,7,4,30,19,9,6,1,8,14,5,9,13,22,17,15,13,13,7,4,30,20,4,7,1,44,6,96,0,34,13,1,0,1,7,0,0,12,4,2,3,16,2,2,0,0,0,0,0,0,0,0,0,0,0,1
20,35,5,8,25,23,1,1,13,16,27,2,8,8,11,61,6,0,10,10,9,8,10,4,7,8,7,0,2,0,1,0,0,4,0,1,5,0,8,1,3,0,18,56,4,4,27,9,17,11,7,11,33,24,5,13,1,3,8,3,30,6,10,5,1,6,12,31,6,3,2,1,7,3,54,3,7,6,0,0,0,0,0,1,14,1,6,4,24,7,2,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,1,0,1,0,0,0,0,10,15,7,9,5,3,7,0,0,0,0,0,0,60,35,31,5,20,28,0,13,24,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22,27,17,0,19,26,1,0,10,46,8,2,9,0,1,0,11,31,7,8,1,3,1,4,1,0,0,1,1,1,5,12,0,0,0,47,20,4,1,19,0,0,6,8,1,1,0,1,0,3,1,1,15,0,2,0,0,4,3,1,1,0,0,0,3,1,0,2,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
23,14,56,0,6,8,0,0,2,0,7,1,0,0,2,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,30,12,3,7,42,12,5,9,1,34,35,41,2,5,30,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,2,0,0,0,0,0,0,1,0,0,0,0,1,3,0,2,1,2,1,8,1,11,4,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,8,32,3,7,1,2,4,2,33,5,1,11,13,13,0,33,1,16,15,2,0,1,0,0,0,14,9,6,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1
25,27,8,1,24,6,0,1,13,1,5,3,10,3,2,0,1,0,1,5,5,2,1,3,10,0,3,0,0,0,1,0,0,0,0,4,5,0,2,0,1,0,9,8,10,1,24,31,20,108,7,67,49,46,12,8,13,3,5,1,6,1,0,5,2,3,0,12,3,0,0,0,0,1,17,0,18,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,13,24,4,23,20,3,0,4,5,8,5,5,5,14,6,3,1,0,26,5,12,12,13,18,11,2,3,0,0,1,0,0,4,0,11,5,0,0,0,6,0,10,17,12,3,90,62,39,36,13,38,68,40,22,36,37,26,28,27,56,23,17,17,13,14,13,56,31,5,12,14,5,7,110,3,30,19,1,0,4,0,1,1,41,3,11,15,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
27,33,0,0,5,1,0,0,19,8,13,5,3,0,2,1,9,14,5,3,5,4,0,2,0,1,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,0,0,8,3,0,0,0,0,7,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,22,6,5,17,9,1,0,19,16,61,4,25,11,9,3,6,8,4,18,4,25,1,2,6,1,3,1,0,0,3,0,2,0,2,8,2,1,1,0,79,0,11,9,5,0,6,3,0,3,0,14,4,9,12,2,8,27,9,1,1,2,1,0,1,2,0,4,1,0,9,1,0,0,20,0,7,5,3,0,0,0,0,1,1,0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,26,42,0,16,14,4,2,0,2,0,1,2,9,3,1,0,1,0,2,4,1,3,12,5,4,1,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,29,26,5,0,71,80,53,0,2,28,21,35,5,12,20,28,11,6,30,13,6,7,5,11,5,16,6,5,4,3,5,0,59,1,7,11,1,0,0,3,7,0,8,3,3,9,8,15,0,0,0,0,0,0,0,0,0,0,0,0,1
30,6,1,0,0,1,0,0,10,3,1,5,8,27,2,19,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,1,7,0,2,1,0,2,1,0,7,10,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,10,22,0,12,0,4,0,0,5,9,3,33,1,2,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,1,5,19,2,10,71,3,11,22,6,2,3,11,6,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,15,45,0,7,4,5,0,13,4,13,4,7,9,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,5,3,2,21,5,2,2,2,23,17,25,2,13,4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,0,1,0,0,0,0,0,2,0,0,4,2,3,31,11,8,5,4,12,1,0,0,0,0,2,48,23,50,10,28,30,8,18,30,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,1,2,2,3,5,1,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,38,12,14,11,11,27,8,24,14,5,3,2,6,0,59,2,10,13,2,0,0,0,0,3,44,0,2,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,59,0,7,2,1,0,0,2,2,3,0,0,1,1,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,31,33,2,5,63,15,1,4,2,29,23,19,2,4,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,15,5,1,1,0,0,0,5,6,9,2,9,17,1,5,2,3,1,1,1,13,1,2,2,15,4,0,0,0,0,0,0,0,0,7,2,1,17,0,0,0,25,16,3,76,33,3,0,52,1,6,33,21,1,1,17,9,4,7,29,3,9,6,9,11,9,53,3,10,8,3,1,7,69,0,7,8,0,0,0,1,0,2,5,1,0,4,4,22,0,0,0,0,0,0,0,0,0,0,0,2,1
37,11,8,0,2,7,0,1,1,2,1,11,1,5,3,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,6,25,3,3,4,0,3,2,2,7,8,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,21,4,0,14,2,0,1,5,4,7,3,3,3,0,4,1,3,1,0,0,0,0,1,0,0,0,4,2,4,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,2,0,1,0,0,1,5,3,1,2,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,11,14,0,10,0,7,1,1,3,1,2,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,8,0,1,5,15,2,5,0,20,9,23,1,6,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1,5,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0
41,29,5,0,20,6,2,1,14,17,11,28,4,6,1,0,1,0,1,5,1,4,8,2,5,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,19,0,3,1,0,0,1,4,23,4,7,16,0,3,4,0,5,0,2,3,4,0,12,13,15,1,0,0,0,0,30,0,0,0,1,0,3,0,0,0,11,0,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
42,44,9,3,50,3,2,1,29,14,51,39,12,1,2,4,6,1,7,24,3,2,10,3,4,0,0,4,2,1,0,6,49,1,6,8,47,5,30,0,0,0,11,22,29,1,53,8,3,16,2,12,32,9,22,34,5,4,4,0,3,4,1,3,8,3,2,12,5,0,5,1,4,2,25,0,2,8,2,0,0,0,4,0,10,0,1,1,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0
43,18,0,0,6,3,0,0,10,15,9,4,14,7,0,3,6,4,4,2,2,0,0,2,2,0,0,1,0,0,2,0,0,0,1,5,41,3,1,0,1,0,1,2,0,0,0,0,0,0,1,1,5,1,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,25,24,2,26,10,2,0,8,5,5,7,2,7,23,1,2,0,0,5,8,2,2,1,2,2,5,1,0,0,0,0,0,0,0,13,44,4,11,0,30,0,7,14,10,2,19,6,6,189,5,7,21,28,1,3,24,16,7,7,7,6,1,4,9,4,2,11,3,0,3,0,10,0,25,0,9,5,2,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,17,2,0,10,1,1,0,7,8,10,0,12,5,0,2,5,1,7,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,13,0,0,10,9,11,1,2,1,4,0,0,0,0,0,0,0,0,1,2,0,0,1,5,0,0,5,1,0,0,0,0,1,0,7,0,0,1,0,0,1,3,17,1,0,9,1,3,0,0,123,46,22,21,12,13,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,2,0,2,0,2,0,11,4,3,1,1,48,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,5,1,2,5,3,1,16,1,0,1,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
48,5,6,0,2,1,0,2,2,0,11,1,1,38,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,31,4,16,0,3,0,5,2,0,27,6,9,0,1,4,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,2,0,0,2,0,0,3,2,2,1,2,9,4,3,0,1,8,5,0,0,0,0,1,1,0,0,0,0,0,0,0,42,23,2,11,1,3,13,134,0,1,1,3,0,0,4,0,3,18,4,7,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,4,5,1,6,4,1,0,11,5,0,0,2,3,2,1,0,8,0,3,1,5,2,1,9,3,0,0,3,0,0,0,0,0,7,6,0,4,0,0,10,0,0,1,2,0,1,0,1,5,0,5,9,0,0,7,7,13,4,0,4,1,3,0,4,0,2,3,3,1,5,0,0,4,6,1,1,3,0,0,0,0,0,1,1,7,5,2,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,127,45,15,15,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,24,0,1,5,5,0,0,6,4,6,3,4,0,0,13,3,5,12,1,2,5,0,2,0,2,0,1,0,0,0,0,0,1,2,47,5,5,0,0,1,0,0,0,0,0,1,2,2,4,0,0,6,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,7,2,1,4,2,0,0,0,10,7,3,0,31,20,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,2,0,4,0,0,0,0,2,4,5,0,25,2,1,12,4,5,16,19,1,7,4,8,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,12,16,2,9,5,7,0,1,2,2,0,3,8,3,0,1,1,1,1,0,0,0,0,23,0,0,2,6,7,0,0,0,0,0,1,1,0,1,0,0,0,3,9,1,23,48,27,34,46,3,13,14,13,5,6,12,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,34,0,0,17,1,0,1,5,6,10,0,4,1,1,2,10,4,7,0,2,1,0,11,3,0,0,3,1,1,0,0,0,0,0,15,2,4,0,0,4,0,2,1,2,0,0,0,0,1,0,4,5,1,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,31,50,0,20,10,0,1,10,17,9,4,4,0,12,0,2,0,0,0,1,1,0,3,0,0,0,2,1,0,0,0,0,0,2,6,2,10,0,2,1,0,18,8,3,23,20,3,3,12,1,30,20,21,8,19,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0,1,0,0,2,1,0,4,3,5,12,0,1,0,0,0,0,0,1,28,31,23,26,19,11,2,5,8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,13,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,7,15,0,8,5,1,0,3,0,1,1,1,0,0,1,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,6,5,1,2,0,0,0,9,0,1,2,0,0,3,0,0,6,1,16,7,2,3,14,2,0,8,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
59,3,7,1,3,1,2,1,4,1,3,1,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,58,26,8,50,10,8,1,6,1,4,14,4,0,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,1,0,1,0,0,0,6,0,0,0,0,1,0,1,1,2,1,2,3,2,1,1,1,1,2,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,1,0,1,2,0,2,0,5,2,1,0,0,1,0,0,1,5,0,8,0,0,1,1,1,4,1,3,0,0,3,17,0,0,3,0,0,0,3,0,0,8,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
61,15,16,0,11,2,0,0,1,2,4,0,1,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,0,1,24,8,1,43,2,5,8,15,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,5,5,0,3,1,0,0,0,0,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,2,0,2,0,0,0,44,14,2,100,32,3,3,6,0,7,36,45,0,0,29,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,3,0,0,1,0,0,0,0,4,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,207,38,29,0,5,1,1,4,1,9,0,0,1,2,1,2,1,3,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
