id,A01,A02,A03,A04,A05,A06,A08,B01,B02,B03,B04,B05,B06,B07,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D01,D02,D03,D04,D05,D06,D07,E01,E02,E03,E04,E05,E06,E07,E08,E09,F01,F02,F03,F04,F05,G01,G02,G03,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,J01,J02,J03,L00,L01,L02,L03,L04,L05,L06,L07,M01,
11,18,0,0,22,1,0,0,2,6,13,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,2,3,0,0,0,0,5,0,0,20,1,0,0,19,62,70,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,59,1,10,26,26,0,1,13,11,21,4,6,0,11,4,9,19,14,6,2,3,0,42,0,4,0,0,0,0,0,0,0,1,1,146,10,9,0,22,4,0,1,2,4,0,0,0,0,10,28,13,16,10,2,2,2,7,25,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,1,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,51,79,0,11,42,0,0,13,13,32,17,8,72,36,1,1,0,2,2,0,3,0,0,7,0,0,0,0,3,0,0,0,0,0,2,1,1,1,0,5,0,31,11,10,14,85,56,20,98,85,25,63,39,7,5,35,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,50,68,0,37,9,3,0,16,10,33,8,4,9,8,9,0,2,0,5,4,3,0,1,0,0,5,2,0,0,0,0,0,0,10,5,0,0,6,1,3,0,48,60,15,15,180,47,70,221,8,118,83,106,8,39,31,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,31,46,0,11,6,1,0,4,15,8,10,5,116,5,11,1,3,0,3,4,0,0,0,11,0,0,2,0,0,4,0,1,0,4,3,4,0,3,1,1,0,13,30,30,4,99,53,41,131,53,59,44,33,15,57,43,23,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,9,0,6,9,0,0,8,50,37,19,14,110,18,8,1,0,0,6,0,0,0,1,11,0,0,0,0,0,0,0,3,8,10,3,0,6,0,0,2,0,3,11,24,5,20,4,1,10,0,3,9,23,1,6,18,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,1,0,2,2,0,0,19,13,8,28,7,93,7,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,6,30,66,4,8,4,0,5,0,3,4,13,0,0,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,53,18,0,25,23,0,0,10,22,20,20,28,1,11,39,30,8,6,13,17,10,7,1,4,1,2,6,3,0,0,1,1,4,0,119,6,2,100,1,11,0,12,10,14,5,10,3,30,32,83,33,87,12,6,6,19,47,57,12,56,13,16,17,14,10,4,33,3,1,9,5,68,11,78,0,13,32,9,0,1,0,2,1,11,1,3,2,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0
19,59,20,0,17,31,7,0,9,49,15,17,25,42,6,4,13,4,3,9,9,12,0,3,36,10,11,3,3,0,2,3,4,3,4,10,4,1,1,0,0,0,12,12,107,14,20,1,8,24,46,18,19,10,2,13,15,12,17,20,33,32,36,20,18,13,9,44,12,4,11,2,95,14,176,7,60,11,15,0,0,9,1,1,17,1,4,5,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0
20,52,9,8,30,27,1,1,12,29,36,2,11,9,28,51,18,2,5,10,10,9,11,4,6,8,7,5,0,1,1,0,0,4,2,6,8,4,12,4,4,0,18,46,8,3,61,21,44,18,20,20,39,48,4,18,5,10,23,10,61,23,23,14,11,37,20,45,17,7,5,8,15,7,122,11,15,20,3,0,0,0,0,1,17,10,5,9,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7,0,0,0,0,0,0,1,4,0,0,1,0,12,20,15,18,7,2,4,3,0,0,0,0,1,84,60,100,10,36,41,3,35,46,1,1,0,1,0,0,0,3,0,0,6,0,0,5,1,1,0,2,0,0,4,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,42,20,0,25,34,0,1,23,78,7,5,17,0,4,2,14,33,11,8,5,7,2,6,0,2,1,1,2,0,7,26,0,0,0,70,27,6,1,40,0,0,13,16,3,2,0,0,1,10,1,5,10,2,10,3,3,6,5,0,2,2,2,3,0,2,2,6,0,0,0,0,1,0,15,0,2,1,0,0,0,0,0,1,4,0,3,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
23,34,120,1,12,25,1,1,8,0,12,6,0,1,4,1,0,0,0,0,0,0,0,1,16,0,0,0,2,0,0,0,0,0,0,3,1,0,12,3,0,0,52,34,16,4,104,42,14,23,2,85,83,102,2,19,37,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,2,0,0,0,0,0,2,0,1,1,1,0,1,0,0,1,6,0,3,4,6,12,5,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,2,0,0,0,0,5,28,98,30,24,10,13,22,14,124,24,6,22,33,52,15,83,1,43,31,7,0,1,0,1,3,31,32,16,13,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0
25,31,18,3,29,3,1,0,13,0,14,6,10,11,1,1,0,0,0,1,6,2,4,14,12,0,1,0,0,0,0,0,0,0,1,6,9,0,3,0,0,0,14,18,5,0,35,56,37,165,5,95,30,67,25,13,24,12,12,4,15,2,2,12,2,9,2,14,5,0,0,3,0,3,17,0,27,0,0,0,0,0,0,0,32,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
26,28,23,6,60,37,1,0,9,9,13,9,11,7,10,4,10,0,0,21,10,14,7,12,13,17,4,3,0,0,0,0,0,2,0,6,3,0,10,1,4,0,19,39,22,5,116,54,65,54,25,48,83,43,29,59,42,29,37,37,96,40,33,35,31,24,46,104,32,13,13,18,9,11,242,3,61,23,3,0,5,9,2,5,49,16,6,23,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0
27,44,0,0,7,9,0,0,19,18,18,2,3,0,5,3,15,27,3,5,3,5,1,6,0,1,1,0,1,0,0,3,1,0,1,37,0,0,0,0,0,0,0,11,8,0,1,0,0,16,0,3,3,3,2,1,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,60,8,9,34,19,0,0,25,26,87,6,28,24,7,3,3,4,8,23,10,21,3,3,7,4,1,1,1,0,1,0,0,9,2,6,1,1,0,2,105,0,10,8,11,1,18,6,2,10,1,32,35,24,16,18,29,45,34,1,8,5,2,3,3,6,1,12,12,0,15,1,0,0,74,1,32,22,15,0,0,0,0,4,6,4,4,1,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0
29,52,75,1,32,34,3,0,10,9,10,4,6,19,6,2,1,2,2,4,7,5,2,7,4,4,2,0,0,0,0,1,0,0,1,5,6,0,4,1,0,0,56,32,15,2,119,128,86,12,2,47,42,49,18,26,23,41,28,10,53,23,13,16,23,12,6,36,10,10,6,4,6,3,121,0,29,7,2,0,1,16,15,5,12,5,3,4,13,11,0,0,0,0,0,0,0,0,0,0,0,1,0
30,6,5,0,1,1,0,0,12,9,5,7,6,39,5,21,0,3,1,2,3,2,2,0,2,1,0,1,0,1,4,2,0,0,105,1,0,0,0,0,0,0,3,4,20,1,11,1,2,7,0,2,22,32,1,2,2,3,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,33,38,0,9,2,0,0,4,10,13,1,43,8,3,0,2,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,18,2,4,44,4,23,96,4,16,58,11,10,8,18,11,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,23,84,0,16,7,3,0,18,11,16,9,10,11,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,6,13,8,5,72,23,6,3,2,70,41,56,4,37,16,22,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,1,0,0,0,0,0,0,6,4,0,6,0,4,24,13,7,14,11,30,3,0,1,0,0,6,72,48,74,20,27,59,20,37,57,0,1,0,1,0,0,0,0,2,0,9,3,0,3,0,1,4,2,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,2,1,0,7,0,2,1,0,0,0,2,4,5,3,1,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,7,15,73,32,54,30,22,49,25,56,32,11,10,3,26,9,184,9,22,16,6,0,0,0,1,10,62,4,1,4,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0
35,10,104,0,17,3,0,0,1,1,1,7,0,0,0,0,0,1,1,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,53,41,11,9,106,23,11,5,18,56,39,44,6,8,12,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,27,6,0,8,0,0,0,12,5,13,6,15,29,2,7,3,1,1,1,6,5,0,4,2,4,3,0,0,0,2,1,0,1,0,18,18,2,29,0,0,0,33,26,7,142,54,8,1,81,3,10,55,50,6,3,26,15,14,29,47,12,16,26,31,38,22,100,15,30,21,8,3,12,187,5,19,7,3,0,1,3,0,1,18,9,5,7,4,35,0,1,0,0,0,0,0,0,0,0,0,2,0
37,16,7,1,4,9,0,2,4,7,4,15,2,1,6,0,0,0,0,2,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,10,41,1,8,3,0,11,1,6,8,12,4,1,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,32,2,0,20,4,0,0,8,4,16,2,7,2,2,3,3,3,3,0,0,1,0,8,0,1,2,7,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,3,0,0,13,1,5,2,0,2,10,1,2,7,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,14,41,2,12,2,1,0,3,4,9,1,5,9,3,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,14,6,6,40,16,6,22,0,61,27,45,1,15,12,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1,6,1,1,0,1,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,31,2,58,10,0,0,0,0,0,0,0,0,0,0,0,0,0
41,47,7,0,37,17,1,1,26,27,31,62,10,11,2,1,0,0,2,15,8,19,35,15,10,6,5,1,0,0,0,5,0,3,0,2,0,1,0,0,1,0,3,23,41,5,20,5,4,6,0,23,40,32,10,26,4,8,4,5,20,4,14,6,22,4,31,55,22,3,3,0,0,5,89,0,25,6,5,0,20,3,0,0,27,2,4,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0
42,62,6,2,77,7,0,0,41,9,58,43,12,1,6,3,12,0,9,14,12,8,9,2,3,2,7,2,9,3,0,5,52,0,9,13,92,4,41,0,5,0,17,31,49,7,87,14,2,20,5,12,41,15,17,40,5,13,15,6,14,9,2,7,5,7,4,25,19,2,11,4,14,5,51,3,11,20,4,0,4,0,1,2,8,0,5,0,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0
43,19,1,1,14,8,0,0,13,17,24,2,19,26,0,4,16,11,3,4,5,1,0,1,3,0,0,0,1,0,1,2,0,0,2,16,50,9,4,0,1,0,3,4,1,1,0,0,0,3,2,3,11,2,1,13,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,38,34,0,36,11,2,1,9,6,9,7,5,7,35,0,3,1,1,10,20,14,10,13,5,5,28,0,0,0,1,1,0,0,0,29,58,5,13,1,30,0,11,26,17,4,36,10,13,305,15,17,41,34,2,7,37,21,30,39,53,29,15,11,26,9,9,43,16,7,17,2,14,8,108,2,25,16,4,0,0,0,0,6,1,1,4,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0
45,27,2,0,12,3,0,0,9,14,16,3,15,5,0,2,10,3,7,0,2,1,1,8,0,3,1,0,1,0,0,1,0,0,9,19,0,0,0,0,0,0,0,7,7,0,0,0,1,0,0,4,12,5,0,0,3,0,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57
46,24,6,1,7,12,7,0,1,2,3,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,4,0,0,1,0,0,1,1,16,0,0,4,0,0,0,7,38,5,0,25,2,7,1,0,206,65,38,42,50,16,22,7,0,1,0,1,0,1,0,0,4,2,0,6,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,4,0,4,0,0,0,14,1,6,4,2,78,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,7,7,0,3,0,0,0,5,11,5,1,9,15,6,45,3,1,0,4,4,2,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
48,15,10,1,7,5,0,0,6,4,24,2,3,70,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,78,8,52,0,4,0,13,11,4,118,17,21,2,4,16,7,9,10,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
49,14,0,0,4,2,0,0,3,6,2,1,1,9,2,3,2,0,13,0,2,1,0,0,3,0,0,0,0,0,0,0,0,50,31,5,9,3,8,9,162,0,0,9,3,1,3,4,0,6,23,8,9,3,0,1,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,16,5,3,7,3,0,0,15,3,2,2,2,8,2,1,1,7,2,4,0,3,6,7,6,1,3,0,1,0,0,0,0,1,13,8,2,6,0,1,20,0,0,3,6,0,1,1,2,5,0,6,14,2,3,16,9,18,17,3,11,0,2,1,5,4,8,15,2,0,8,0,2,5,23,1,5,4,0,0,0,0,0,1,0,14,15,3,31,19,0,0,0,0,0,0,0,0,0,0,0,0,0
51,20,4,1,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,19,1,2,0,0,196,111,31,37,12,6,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,36,0,2,3,8,0,0,11,3,6,3,8,2,1,15,4,10,9,2,0,4,0,4,0,6,1,1,0,0,0,0,0,1,4,71,9,15,0,0,4,0,1,0,1,0,3,2,3,3,0,1,6,7,0,3,1,7,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,10,2,1,5,4,0,0,2,11,7,7,2,33,16,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,0,0,0,6,2,0,1,0,0,0,0,4,3,6,3,42,5,6,15,4,8,23,21,2,3,5,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,122
54,17,27,0,15,6,2,0,4,11,9,1,4,12,5,2,0,0,2,1,5,0,1,0,11,1,0,1,5,8,0,2,0,0,3,5,3,0,3,0,0,0,22,12,2,42,66,34,59,78,7,20,28,23,11,11,10,16,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,35,0,0,29,3,0,0,10,4,17,0,8,0,4,0,8,3,14,2,1,4,0,22,2,0,0,4,0,2,0,1,0,5,0,33,1,1,0,0,2,0,6,7,1,0,2,1,0,3,0,11,11,4,6,27,2,4,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,46,47,1,20,15,2,0,17,20,6,9,0,4,14,0,0,2,1,5,1,0,0,3,6,0,0,4,0,0,0,0,0,0,3,5,9,15,2,1,0,0,37,23,8,26,27,0,4,8,4,35,21,27,14,27,11,19,10,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3,2,0,1,2,0,0,1,8,8,1,6,3,3,8,17,15,18,6,4,1,0,0,2,0,3,37,75,51,37,44,39,7,33,38,1,0,0,1,0,0,0,4,1,0,1,0,0,5,31,3,6,2,0,1,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,16,20,1,10,14,0,0,3,0,0,8,0,2,1,1,1,1,0,1,3,0,0,1,1,0,0,1,0,0,0,0,1,16,11,8,1,0,1,0,20,0,0,3,5,3,9,6,1,21,2,20,7,2,7,16,1,4,12,2,2,1,0,0,1,1,1,6,1,1,0,0,1,0,4,0,3,0,1,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,11,6,0,4,3,0,0,9,1,4,4,6,6,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,13,0,0,0,0,103,40,19,136,24,16,3,9,0,14,25,26,1,1,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,10,2,0,4,0,0,0,6,0,0,1,0,1,3,3,2,2,1,2,7,1,3,2,2,5,3,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,1,1,0,6,1,0,4,0,4,3,1,0,2,0,0,1,2,13,2,3,2,1,6,0,4,5,1,5,0,0,5,14,0,6,2,0,0,0,1,0,1,3,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
61,22,32,0,22,3,0,0,6,3,3,0,2,9,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,30,9,0,7,45,15,1,112,1,16,22,17,7,16,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
63,6,3,0,7,5,1,0,4,1,3,2,10,0,2,0,0,2,0,1,1,1,0,1,3,1,0,0,0,0,1,0,1,0,2,9,6,1,1,0,0,0,49,14,1,163,50,8,0,8,2,26,74,88,0,2,27,20,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,10,3,2,4,7,0,0,4,0,8,0,4,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,47,315,65,60,1,12,0,1,14,1,17,3,0,1,3,10,10,13,7,3,1,4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
