communityOder2,community,type,count,stage,communityOder
7,C2_7,NOR,0,b,16
7,C2_7,AGR,0,b,16
7,C2_7,FIN,0,b,16
7,C2_7,MED,0,b,16
7,C2_7,LAN,0,b,16
7,C2_7,LAW,0,b,16
8,C2_8,COM,0,b,17
8,C2_8,ENG,0,b,17
8,C2_8,NOR,0,b,17
8,C2_8,AGR,0,b,17
8,C2_8,FIN,0,b,17
8,C2_8,MED,7,b,17
8,C2_8,LAN,0,b,17
8,C2_8,LAW,0,b,17
9,C2_9,COM,3,b,18
9,C2_9,ENG,0,b,18
9,C2_9,NOR,8,b,18
9,C2_9,AGR,1,b,18
9,C2_9,FIN,0,b,18
9,C2_9,MED,2,b,18
9,C2_9,LAN,0,b,18
9,C2_9,LAW,0,b,18
10,C2_10,COM,1,b,19
10,C2_10,ENG,6,b,19
10,C2_10,NOR,1,b,19
10,C2_10,AGR,0,b,19
10,C2_10,FIN,0,b,19
10,C2_10,MED,0,b,19
10,C2_10,LAN,0,b,19
10,C2_10,LAW,0,b,19
1,C3_1,COM,7,c,20
1,C3_1,ENG,0,c,20
1,C3_1,NOR,0,c,20
1,C3_1,AGR,0,c,20
1,C3_1,FIN,0,c,20
1,C3_1,MED,0,c,20
1,C3_1,LAN,0,c,20
1,C3_1,LAW,0,c,20
2,C3_2,COM,8,c,21
2,C3_2,ENG,4,c,21
2,C3_2,NOR,0,c,21
2,C3_2,AGR,0,c,21
2,C3_2,FIN,0,c,21
2,C3_2,MED,0,c,21
2,C3_2,LAN,0,c,21
2,C3_2,LAW,0,c,21
3,C3_3,COM,0,c,22
3,C3_3,ENG,0,c,22
3,C3_3,NOR,0,c,22
3,C3_3,AGR,7,c,22
3,C3_3,FIN,0,c,22
3,C3_3,MED,0,c,22
3,C3_3,LAN,0,c,22
3,C3_3,LAW,0,c,22
4,C3_4,COM,3,c,23
4,C3_4,ENG,0,c,23
4,C3_4,NOR,10,c,23
4,C3_4,AGR,0,c,23
4,C3_4,FIN,0,c,23
4,C3_4,MED,0,c,23
4,C3_4,LAN,0,c,23
4,C3_4,LAW,0,c,23
5,C3_5,COM,9,c,24
5,C3_5,ENG,2,c,24
5,C3_5,NOR,4,c,24
5,C3_5,AGR,0,c,24
5,C3_5,FIN,0,c,24
5,C3_5,MED,0,c,24
5,C3_5,LAN,0,c,24
5,C3_5,LAW,0,c,24
6,C3_6,COM,1,c,25
6,C3_6,ENG,20,c,25
6,C3_6,NOR,0,c,25
6,C3_6,AGR,0,c,25
6,C3_6,FIN,0,c,25
6,C3_6,MED,0,c,25
6,C3_6,LAN,0,c,25
6,C3_6,LAW,0,c,25
7,C3_7,COM,5,c,26
7,C3_7,ENG,16,c,26
7,C3_7,NOR,1,c,26
7,C3_7,AGR,0,c,26
7,C3_7,FIN,1,c,26
7,C3_7,MED,1,c,26
7,C3_7,LAN,0,c,26
7,C3_7,LAW,0,c,26
8,C3_8,COM,0,c,27
8,C3_8,ENG,0,c,27
8,C3_8,NOR,0,c,27
8,C3_8,AGR,0,c,27
8,C3_8,FIN,0,c,27
8,C3_8,MED,8,c,27
8,C3_8,LAN,0,c,27
8,C3_8,LAW,0,c,27
9,C3_9,COM,1,c,28
9,C3_9,ENG,0,c,28
9,C3_9,NOR,0,c,28
9,C3_9,AGR,0,c,28
9,C3_9,FIN,4,c,28
9,C3_9,MED,0,c,28
9,C3_9,LAN,3,c,28
9,C3_9,LAW,1,c,28
